Material,Quantity per assembly,Daily demand,Replanishment Days,Cycle inventory (theorical),Safety Stock,Safety Stock (Theorical),Safety Stock in Days,Lot Size Calculado,Kanban Calculado,Business Unit,Supply Area (ZC_MKAL),Área da Fábrica,Package Type,Container Quantity,Package coverage in days,Packages used in a day,Part number Weight (kg),Total weight (parts + package),Nº of Operations,Data
0290212134,2,12,5,60,"0,05",3,"0,5",63,2,ARIES,C81MS090PA,Montagem CANA,Bandejão,22,"1,8333333333333333","0,5454545454545454","0,0","0,0",5,2022-02-16
0290212134,2,12,5,60,"0,05",3,"0,5",63,2,ARIES,C81MS090PA,Montagem CANA,Bandejão,22,"1,8333333333333333","0,5454545454545454","0,0","0,0",5,2021-04-16
0290242755,2,12,2,24,"0,05",2,"0,3333333333333333",26,2,ARIES,C51S1900PA,Solda CANA,Bandejão,20,"1,6666666666666667","0,6","0,0","0,0",1,2022-04-13
0290244254,2,12,3,36,"0,05",2,"0,3333333333333333",38,2,ARIES,C51S1900PA,Solda CANA,Bandejão,300,"25,0","0,04","0,0","0,0",2,2022-02-07
0290261800,1,6,2,12,"0,05",1,"0,16666666666666666",13,2,ARIES,C51S1300PA,Solda CANA,Bandejão,60,"10,0","0,1","0,0","0,0",1,2022-01-18
CB01418516,1,6,3,18,"0,05",1,"0,16666666666666666",19,2,ARIES,C51S0800PA,Solda CANA,Embalagem Especial,25,"4,166666666666667","0,24","10,15","192,85",2,2022-02-21
CB01419293,5,30,3,90,"0,05",5,"0,8333333333333334",95,2,ARIES,C51S0300PA,Solda CANA,Embalagem Especial,90,"3,0","0,3333333333333333","13,217","1255,615",2,2022-02-24
CB01420522,1,6,2,12,"0,05",1,"0,16666666666666666",13,2,ARIES,C51S0800PA,Solda CANA,Embalagem Especial,30,"5,0","0,2","6,139","79,807",1,2022-02-28
CB01424585,1,6,2,12,"0,05",1,"0,16666666666666666",13,2,LIBRA E ARIES,C51S16A0PA,Solda CANA,KLT Grande,14,"2,3333333333333335","0,42857142857142855","0,735","13,254999999999999",1,2022-02-17
CB01424803,1,6,3,18,"0,05",1,"0,16666666666666666",19,2,ARIES,C51S1300PA,Solda CANA,Bandejão,35,"5,833333333333333","0,17142857142857143","4,804","91,27600000000001",2,2022-02-19
CB01427069,1,6,5,30,"0,05",2,"0,3333333333333333",32,2,ARIES,C81PA050PA,Montagem CANA,Embalagem Especial,20,"3,3333333333333335","0,3","0,815","26,08",5,2022-05-03
CB01431279,1,6,3,18,"0,05",1,"0,16666666666666666",19,2,ARIES,C51S0300PA,Solda CANA,Bandejão,100,"16,666666666666668","0,06","0,861","16,358999999999998",2,2022-05-06
CB01433336,1,6,2,12,"0,05",1,"0,16666666666666666",13,2,ARIES,C51S0100PA,Solda CANA,Bandejão,70,"11,666666666666666","0,08571428571428572","5,877","76,401",1,2022-05-03
CB01433337,1,6,3,18,"0,05",1,"0,16666666666666666",19,2,ARIES,C51S01E0PA,Solda CANA,Bandejão,30,"5,0","0,2","6,96","132,24",2,2022-02-05
